1125,WGHPDT (WGHP-DT) (Fox)
1130,WCWGDT (WCWG-DT) (CW)
1135,WMYVDT (WMYV-DT) (MyNetwork TV)
1140,WGPXDT (WGPX-DT) (ION)
1170,Time Warner Digital Feed of WUNCDT2
1195,Primetime On Demand
1200,Disney Channel HD
1202,Disney XD HD
1205,Nickelodeon HD
1211,HUB HD
1213,Cartoon Network HD
1215,ABC Family HD
1216,TV Land HD
1218,Hallmark Channel HD
1250,The Discovery Channel HD
1251,Investigation Discovery HD
1252,Animal Planet HD
1253,National Geographic Channel HD
1254,National Geographic Wild HD
1256,Destination America HD
1258,The Learning Channel HD
1259,Oprah Winfrey Network HD
1260,Science Channel HD
1263,History HD
1264,Smithsonian HD Network
1265,History International HD
1266,The Biography Channel HD
1268,Crime & Investigation Network HD
1270,Velocity
1275,Smithsonian HD On Demand
1300,USA Network HD
1301,Turner Network TV HD
1302,TBS HD
1304,Comedy Central HD
1305,E! Entertainment Television HD
1306,A&E Network HD East
1307,Bravo HD
1308,BET HD
1310,Spike TV HD
1311,G4 HD
1312,FX HD
1313,truTV HD
1315,Syfy HD
1320,Oxygen HD
1321,Lifetime HD
1324,WE tv HD
1326,Ovation TV HD
1327,BBC America HD
1328,MavTV HD
1330,TV ONE HD
1333,3DTV Time Warner
1350,Home & Garden Television HD (HGHD)
1351,Food Network HD
1353,Cooking Channel HD
1354,The Travel Channel HD
1356,Do-It-Yourself Network HD
1357,Style HD
1359,RFD TV HD
1400,CNN HD
1401,HLN HD
1403,Fox News Channel HD
1404,Fox Business HD
1406,MSNBC HD
1407,CNBC HD
1412,Bloomberg HD
1414,News 14 Carolina (NWS14)
1418,The Weather Channel HD
1450,MTV - Music Television HD
1451,MTV2: Music Television HD
1451,MTV 2: Music Television HD
1453,PALLADIA
1454,VH1 HD
1456,Fuse HD
1460,Country Music Television HD
1498,NFL Network HD
1499,NFL RedZone HD
1500,ESPNHD
1500,ESPN HD
1501,ESPN2 HD
1501,ESPN 2 HD
1502,ESPN University HD
1503,ESPNEWS HD
1505,ESPN 3D
1508,Fox Sports Carolinas - North Carolina Ce (Sports Regional)
1510,SportSouth No Hawks HD (Sports Regional)
1511,Fox Soccer Channel HD
1512,Speed HD
1514,NBC Sports Network HD
1515,The Golf Channel HD
1520,EPG Special Events HDTV
1522,HDTV Special Events
1524,MLB Network HD
1525,MLB Network Strike Zone HD
1526,NHL Network HD
1527,NBA TV HDTV
1531,Time Warner Cable SportsNet National HD
1532,Pac-12 Network HD
1536,Fox Soccer Plus HD
1537,CBS Sports Network HD
1538,Big Ten HD
1539,Big Ten Network Overflow HD (Sports Regional)
1540,ESPN Goal Line HD
1541,Outdoor Channel HD
1542,The Tennis Channel HD
1543,beIN Sport HD
1545,Time Warner Cable Deportes HD
1549,Sports On Demand
1555,Game HD
1556,Game HD2
1557,GAME HD 3
1558,GAME HD 4
1559,GAME HD 5
1560,GAME HD 6
1561,GAME HD 7
1562,GAME HD 8
1563,GAME HD 9
1571,TEAM HD
1572,TEAM HD 2
1573,TEAM HD 3
1574,TEAM HD 4
1575,TEAM HD 5
1576,TEAM HD 6
1577,TEAM HD 7
1578,TEAM HD 8
1579,TEAM HD 9
1600,Movies On Demand
1610,HD Movies On Demand
1611,HD Movies On Demand
1612,HD Movies On Demand
1613,HD Movies On Demand
1614,HD Movies On Demand
1615,HD Movies On Demand
1616,HD Movies On Demand
1617,HD Movies On Demand
1621,Turner Classic Movies HD
1622,AMC HD
1623,Lifetime Movie Network HD
1624,Hallmark Movie Channel HD
1626,Universal HD
1627,MGM HD
1628,Sundance Channel HD
1631,Independent Film Channel HD
1635,Encore HD
1644,FEARnet HD
1650,MoviePass On Demand
1700,HBO HD
1701,HBO HD (Pacific)
1702,HBO 2 HD
1704,HBO Family HD
1706,HBO Signature HD
1708,HBO Comedy HD
1710,HBO Zone HD
1712,HBO Latino HD (Latin American PAY)
1715,CineMAX HD
1716,CineMAX HD (Pacific)
1717,MoreMax HD
1719,ActionMAX HD
1721,ThrillerMAX HD
1723,W MAX--WOMAX HD
1724,AtMAX HD
1725,5 StarMAX HD East
1726,OuterMAX HD
1728,Showtime HD
1729,Showtime HD (Pacific)
1730,SHO 2 HD
1732,Showtime Showcase HD
1734,Showtime Extreme HD
1736,Showtime Beyond HD
1738,Showtime Next HD
1740,Showtime Women HD
1745,The Movie Channel HD
1747,The Movie Channel Extra HD
1750,Starz HD
1752,Starz Edge HD
1754,Starz Kids HD
1756,Starz Comedy HD
1760,HBO On Demand
1761,Cinemax On Demand
1762,Showtime On Demand
1771,In Demand PPVHD (HD Events) ((AO) Pay-Per-View)
1773,In Demand 3D ((AO) Pay-Per-View)
1816,Time Warner Cable Deportes HD
1817,ESPN Deportes HD
1819,GOLTV (English) HD
1820,beIN Sport En Espanol HD
